TransactionID,DeviceInfo
2987004,SAMSUNG SM-G892A Build/NRD90M
2987008,iOS Device
2987010,Windows
2987016,MacOS
2987017,Windows
2987040,Windows
2987048,Windows
2987049,Windows
2987057,SM-G930V Build/NRD90M
2987066,Windows
2987070,iOS Device
2987072,BLADE A602 Build/MRA58K
2987074,Windows
2987084,Windows
2987093,Windows
2987099,iOS Device
2987100,SM-G930V Build/NRD90M
2987101,MacOS
2987104,SM-G930V Build/NRD90M
2987105,XT1635-02 Build/NPN26.118-22-2
2987111,Windows
2987114,Windows
2987119,MacOS
2987121,MacOS
2987125,MacOS
2987130,Windows
2987138,Windows
2987141,MacOS
2987144,MacOS
2987145,iOS Device
2987148,iOS Device
2987156,Windows
2987167,Windows
2987173,iOS Device
2987183,Z970
2987189,Windows
2987192,Windows
2987196,Windows
2987197,iOS Device
2987198,iOS Device
2987207,iOS Device
2987209,Windows
2987211,SM-N920V Build/NRD90M
2987236,iOS Device
2987240,Redmi Note 4 Build/MMB29M
2987243,Redmi Note 4 Build/MMB29M
2987245,Redmi Note 4 Build/MMB29M
2987248,iOS Device
2987252,Windows
2987258,Windows
2987262,Windows
2987265,iOS Device
2987266,Windows
2987270,iOS Device
2987271,Windows
2987273,iOS Device
2987275,MacOS
2987281,Windows
2987284,Windows
2987301,Lenovo PB1-750M Build/S100
2987311,MacOS
2987316,Windows
2987327,Windows
2987328,Windows
2987332,iOS Device
2987333,Windows
2987335,iOS Device
2987336,iOS Device
2987337,iOS Device
2987338,iOS Device
2987352,LT22i Build/6.2.A.1.100
2987355,MacOS
2987361,MacOS
2987366,iOS Device
2987367,rv:52.0
2987374,MacOS
2987376,MacOS
2987386,SM-G950U Build/NRD90M
2987387,LG-H872 Build/NRD90U
2987389,MacOS
2987390,MacOS
2987398,LG-K500 Build/MMB29M
2987404,iOS Device
2987406,iOS Device
2987408,iOS Device
2987412,Windows
2987416,iOS Device
2987425,iOS Device
2987429,Windows
2987433,iOS Device
2987434,iOS Device
2987435,Windows
2987437,iOS Device
2987439,SM-P550 Build/MMB29M
2987446,Windows
2987449,iOS Device
2987455,Windows
2987456,SM-J700M Build/MMB29K
2987457,Trident/7.0
2987461,rv:57.0
2987462,Windows
2987463,SM-G950U Build/NRD90M
2987466,iOS Device
2987467,SAMSUNG SM-G930T Build/NRD90M
2987469,iOS Device
2987476,Windows
2987482,Windows
