TransactionID,DeviceType
2987004,mobile
2987008,mobile
2987010,desktop
2987011,desktop
2987016,desktop
2987017,desktop
2987038,mobile
2987040,desktop
2987048,desktop
2987049,desktop
2987057,mobile
2987066,desktop
2987069,desktop
2987070,mobile
2987072,mobile
2987074,desktop
2987084,desktop
2987093,desktop
2987099,mobile
2987100,mobile
2987101,desktop
2987104,mobile
2987105,mobile
2987111,desktop
2987114,desktop
2987119,desktop
2987121,desktop
2987125,desktop
2987130,desktop
2987138,desktop
2987141,desktop
2987144,desktop
2987145,mobile
2987148,mobile
2987156,desktop
2987167,desktop
2987173,mobile
2987183,mobile
2987188,mobile
2987189,desktop
2987190,mobile
2987192,desktop
2987196,desktop
2987197,mobile
2987198,mobile
2987199,mobile
2987207,mobile
2987209,desktop
2987211,mobile
2987236,mobile
2987240,mobile
2987243,mobile
2987245,mobile
2987248,mobile
2987252,desktop
2987258,desktop
2987259,mobile
2987262,desktop
2987265,mobile
2987266,desktop
2987270,mobile
2987271,desktop
2987273,mobile
2987275,desktop
2987281,desktop
2987284,desktop
2987287,desktop
2987288,mobile
2987301,mobile
2987311,desktop
2987316,desktop
2987327,desktop
2987328,desktop
2987332,mobile
2987333,desktop
2987335,mobile
2987336,mobile
2987337,mobile
2987338,mobile
2987352,mobile
2987355,desktop
2987361,desktop
2987366,mobile
2987367,desktop
2987368,mobile
2987374,desktop
2987376,desktop
2987380,mobile
2987384,desktop
2987386,mobile
2987387,mobile
2987389,desktop
2987390,desktop
2987398,mobile
2987404,mobile
2987405,mobile
2987406,mobile
2987408,mobile
2987412,desktop
2987416,mobile
2987425,mobile
2987429,desktop
2987433,mobile
2987434,mobile
2987435,desktop
2987437,mobile
2987438,mobile
2987439,mobile
2987443,mobile
2987446,desktop
2987449,mobile
2987455,desktop
2987456,mobile
2987457,desktop
2987461,desktop
2987462,desktop
2987463,mobile
2987465,mobile
2987466,mobile
2987467,mobile
2987469,mobile
2987476,desktop
2987482,desktop
2987485,desktop
2987488,desktop
2987489,mobile
2987490,mobile
2987499,desktop
2987501,desktop
2987504,desktop
2987505,desktop
2987508,desktop
2987514,desktop
2987515,desktop
2987517,mobile
2987520,mobile
2987521,mobile
2987523,mobile
2987524,mobile
2987528,mobile
2987529,mobile
2987531,mobile
2987532,desktop
2987535,desktop
2987543,desktop
2987544,mobile
2987547,desktop
2987550,mobile
2987551,mobile
2987552,desktop
2987553,mobile
2987555,mobile
2987556,desktop
