TransactionID,R_emaildomain
2987010,gmail.com
2987011,hotmail.com
2987038,gmail.com
2987040,gmail.com
2987048,outlook.com
2987049,anonymous.com
2987068,hotmail.com
2987069,hotmail.com
2987072,outlook.com
2987074,gmail.com
2987079,hotmail.com
2987084,anonymous.com
2987085,anonymous.com
2987090,gmail.com
2987093,charter.net
2987099,gmail.com
2987105,gmail.com
2987108,gmail.com
2987111,hotmail.com
2987113,anonymous.com
2987114,gmail.com
2987118,anonymous.com
2987119,anonymous.com
2987130,gmail.com
2987139,prodigy.net.mx
2987141,anonymous.com
2987142,anonymous.com
2987144,anonymous.com
2987145,anonymous.com
2987146,anonymous.com
2987156,comcast.net
2987173,gmail.com
2987189,gmail.com
2987190,hotmail.com
2987192,anonymous.com
2987193,hotmail.com
2987196,anonymous.com
2987197,gmail.com
2987199,live.com.mx
2987205,hotmail.com
2987209,anonymous.com
2987236,gmail.com
2987240,hotmail.com
2987243,hotmail.com
2987245,hotmail.com
2987252,anonymous.com
2987258,anonymous.com
2987259,hotmail.com
2987262,anonymous.com
2987265,icloud.com
2987266,live.com.mx
2987270,icloud.com
2987271,yahoo.com
2987281,aol.com
2987284,gmail.com
2987287,gmail.com
2987288,outlook.com
2987300,hotmail.com
2987301,hotmail.com
2987302,hotmail.com
2987305,anonymous.com
2987311,juno.com
2987316,gmail.com
2987319,gmail.com
2987328,gmail.com
2987332,anonymous.com
2987335,anonymous.com
2987336,anonymous.com
2987338,anonymous.com
2987352,gmail.com
2987355,comcast.net
2987361,comcast.net
2987366,hotmail.com
2987367,gmail.com
2987368,hotmail.com
2987374,comcast.net
2987376,gmail.com
2987380,hotmail.com
2987384,hotmail.com
2987386,yahoo.com
2987389,gmail.com
2987398,hotmail.com
2987405,gmail.com
2987412,gmail.com
2987429,gmail.com
2987433,anonymous.com
2987438,hotmail.com
2987439,outlook.com
2987443,hotmail.com
2987446,att.net
2987456,outlook.com
2987461,gmail.com
2987465,gmail.com
2987466,gmail.com
2987469,icloud.com
2987476,hotmail.com
2987488,hotmail.com
2987489,gmail.com
2987499,gmail.com
2987501,hotmail.com
2987514,yahoo.com
2987515,verizon.net
2987517,gmail.com
2987520,gmail.com
2987521,gmail.com
2987523,gmail.com
2987529,gmail.com
2987531,gmail.com
2987532,hotmail.com
2987535,gmail.com
2987544,yahoo.com
2987547,gmail.com
2987550,gmail.com
2987551,gmail.com
2987553,gmail.com
2987556,gmail.com
2987558,anonymous.com
2987560,yahoo.com.mx
2987563,aol.com
2987571,gmail.com
2987576,gmail.com
2987577,hotmail.com
2987579,gmail.com
2987582,anonymous.com
2987584,live.com.mx
2987585,anonymous.com
2987590,anonymous.com
2987592,gmail.com
2987596,gmail.com
2987598,anonymous.com
2987602,anonymous.com
2987603,anonymous.com
2987605,bellsouth.net
2987607,yahoo.com.mx
2987608,gmail.com
2987610,anonymous.com
2987612,gmail.com
2987613,hotmail.com
2987617,hotmail.com
2987618,gmail.com
2987623,hotmail.com
2987625,gmail.com
2987630,gmail.com
2987635,gmail.com
2987637,hotmail.com
2987638,icloud.com
2987639,gmail.com
2987641,servicios-ta.com
2987643,anonymous.com
2987648,ymail.com
2987653,gmail.com
2987660,yahoo.com.mx
2987664,anonymous.com
2987666,anonymous.com
2987668,gmail.com
2987672,gmail.com
2987681,yahoo.com.mx
2987683,gmail.com
2987686,hotmail.com
2987692,hotmail.com
2987693,yahoo.com.mx
2987694,gmail.com
2987696,hotmail.com
2987698,gmail.com
2987710,yahoo.com.mx
2987712,yahoo.com
2987724,gmail.com
2987730,anonymous.com
2987732,anonymous.com
2987739,gmail.com
2987741,gmail.com
2987743,yahoo.com
2987746,gmail.com
2987747,yahoo.com
2987750,gmail.com
