TransactionID,id_38
2987004,T
2987008,T
2987010,T
2987011,T
2987016,T
2987017,T
2987038,T
2987040,T
2987048,T
2987049,T
2987057,T
2987066,T
2987069,T
2987070,T
2987072,T
2987074,T
2987084,T
2987093,T
2987099,F
2987100,T
2987101,T
2987104,T
2987105,T
2987111,T
2987114,T
2987119,T
2987121,T
2987125,T
2987130,T
2987138,T
2987141,F
2987144,F
2987145,F
2987148,T
2987156,F
2987167,T
2987173,T
2987183,T
2987188,T
2987189,T
2987190,T
2987192,T
2987196,T
2987197,T
2987198,T
2987199,T
2987207,T
2987209,T
2987211,T
2987236,T
2987240,T
2987243,T
2987245,T
2987248,T
2987252,T
2987258,T
2987259,T
2987262,T
2987265,T
2987266,T
2987270,T
2987271,F
2987273,T
2987275,T
2987281,T
2987284,T
2987287,T
2987288,F
2987301,T
2987311,T
2987316,T
2987327,T
2987328,T
2987332,F
2987333,T
2987335,F
2987336,F
2987337,T
2987338,F
2987352,T
2987355,F
2987361,F
2987366,T
2987367,F
2987368,T
2987374,F
2987376,T
2987380,T
2987384,T
2987386,T
2987387,T
2987389,T
2987390,T
2987398,T
2987404,T
2987405,T
2987406,T
2987408,T
2987412,T
2987416,T
2987425,T
2987429,T
2987433,F
2987434,T
2987435,T
2987437,T
2987438,T
2987439,T
2987443,T
2987446,T
2987449,T
2987455,T
2987456,T
2987457,T
2987461,T
2987462,T
2987463,T
2987465,T
2987466,F
2987467,T
2987469,T
2987476,T
2987482,T
2987485,T
2987488,T
2987489,T
2987490,T
2987499,T
2987501,T
2987504,T
2987505,T
2987508,T
2987514,F
2987515,T
2987517,T
2987520,T
2987521,T
2987523,T
2987524,T
2987528,T
2987529,T
2987531,T
2987532,T
2987535,T
2987543,T
2987544,F
2987547,T
2987550,T
2987551,T
2987552,T
2987553,T
2987555,T
2987556,T
2987558,F
2987560,T
2987563,T
2987571,T
2987576,T
2987577,T
2987579,T
2987582,T
2987584,T
2987585,T
2987590,F
2987592,T
2987596,T
